Modelo_ID,AB2,Resistividad_Aparente
SEV-Prueva,2.0,278.7
SEV-Prueva,5.0,392.9
SEV-Prueva,79.58730033671594,
SEV-Prueva,79.58730033671594,
SEV-Prueva,79.58730033671594,
SEV-Prueva,10.0,596.9
SEV-Prueva,10.0,577.8
SEV-Prueva,15.0,999.1
SEV-Prueva,20.0,1147.8
SEV-Prueva,79.58730033671594,
SEV-Prueva,30.0,1281.8
SEV-Prueva,40.0,1298.0
SEV-Prueva,79.58730033671594,
SEV-Prueva,40.0,1842.5
SEV-Prueva,50.0,1871.6
SEV-Prueva,60.0,2163.8
SEV-Prueva,79.58730033671594,
SEV-Prueva,70.0,1965.6
SEV-Prueva,80.0,1600.0
SEV-Prueva,79.58730033671594,
SEV-Prueva,90.0,1517.1
SEV-Prueva,100.0,1660.4
