Modelo_ID,Sitio_ID,AB2,Resistividad_Aparente
S2-ZR-PEBSA-Prueba,8,2,287.7
S2-ZR-PEBSA-Prueba,8,5,392.9
S2-ZR-PEBSA-Prueba,8,10,596.9
S2-ZR-PEBSA-Prueba,8,10,577.8
S2-ZR-PEBSA-Prueba,8,15,999.1
S2-ZR-PEBSA-Prueba,8,20,1147.8
S2-ZR-PEBSA-Prueba,8,30,1281.8
S2-ZR-PEBSA-Prueba,8,40,1298
S2-ZR-PEBSA-Prueba,8,40,1842.5
S2-ZR-PEBSA-Prueba,8,50,1871.6
S2-ZR-PEBSA-Prueba,8,60,2163.8
S2-ZR-PEBSA-Prueba,8,70,1965.6
S2-ZR-PEBSA-Prueba,8,80,1600
S2-ZR-PEBSA-Prueba,8,90,1517.1
S2-ZR-PEBSA-Prueba,8,100,1660.4
