,Espesor_1,Espesor_1,Espesor_1,Espesor_1,Espesor_1,Espesor_2,Espesor_2,Espesor_2,Espesor_2,Espesor_2,Espesor_3,Espesor_3,Espesor_3,Espesor_3,Espesor_3,Resistividad_1,Resistividad_1,Resistividad_1,Resistividad_1,Resistividad_1,Resistividad_2,Resistividad_2,Resistividad_2,Resistividad_2,Resistividad_2,Resistividad_3,Resistividad_3,Resistividad_3,Resistividad_3,Resistividad_3,Resistividad_4,Resistividad_4,Resistividad_4,Resistividad_4,Resistividad_4
,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max
,6.166666667,0.2081666,6.1,6,6.4,69.72333333,8.888230045,70,60.7,78.47,122.2766667,8.888230045,122,113.53,131.3,261.07,154.2581042,196.01,150,437.2,70,17.32050808,60,60,90,1889.853333,2514.794245,804.5,100,4765.06,2267.824,3017.753094,965.4,120,5718.072
,2.64,0.844393273,3,1.3,3.5,10.8,7.076369125,9,4.5,23,49.5,14.56880228,45.5,32,66,51.92,32.42733415,56,4,95,541,557.9471301,350,45,1500,4600,3786.159004,3400,1500,11000,5520,4543.390804,4080,1800,13200
,3.5,0.707106781,3.5,3,4,26.5,0.707106781,26.5,26,27,,,,,,63.6,86.83271273,63.6,2.2,125,2425,1308.147545,2425,1500,3350,2910,1569.777054,2910,1800,4020,,,,,
,2.1,0.692820323,1.7,1.7,2.9,13.73333333,7.350056689,15.7,5.6,19.9,44.16666667,7.86786714,42.6,37.2,52.7,44.86666667,36.29246937,26.1,21.8,86.7,31.03333333,40.90725282,13.4,1.9,77.8,102.6333333,83.77531458,80,32.5,195.4,123.16,100.5303775,96,39,234.48
,1.433333333,0.665832812,1.6,0.7,2,13.1,10.33295698,7.9,6.4,25,45.33333333,12.88772025,43.6,33.4,59,13.7,21.05160326,2.1,1,38,7.866666667,7.397522108,6.9,1,15.7,72.33333333,4.041451884,70,70,77,86.8,4.849742261,84,84,92.4
,3.18,1.159655121,3.18,2.36,4,18.25,3.464823228,18.25,15.8,20.7,50.55,4.596194078,50.55,47.3,53.8,255.185,203.0598544,255.185,111.6,398.77,1183.33,697.4477026,1183.33,690.16,1676.5,1142.55,182.2214175,1142.55,1013.7,1271.4,1371.06,218.665701,1371.06,1216.44,1525.68
,17.66666667,19.65536398,10,3,40,20,6,20,14,26,140.6666667,62.04299584,138,80,204,274.3333333,412.4006951,56,17,750,137.3333333,112.7356791,100,48,264,176.6666667,158.771324,85,85,360,221,183.2293645,129,102,432
,5.275,2.02546291,4.8,3.5,8,17,13.68697678,12.5,6,37,35.125,18.08486937,32.25,20,56,475.75,568.523453,300,3,1300,1780,1416.192077,1950,20,3200,2050,378.5938897,1900,1800,2600,3170,1286.390298,2760,2160,5000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Espesor_1,Espesor_2,Espesor_3,Resistividad_1,Resistividad_2,Resistividad_3,Resistividad_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,std,std,std,std,std,std,std,total,espesores,resitividades,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.2,8.9,8.9,154.3,17.3,2514.8,3017.8,5722.1,18,5704.1,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.8,7.1,14.6,32.4,557.9,3786.2,4543.4,8942.4,22.5,8919.9,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.7,0.7,,86.8,1308.1,1569.8,,2966.2,1.4,2964.8,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.7,7.4,7.9,36.3,40.9,83.8,100.5,277.4,15.9,261.5,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.7,10.3,12.9,21.1,7.4,4,4.8,61.2,23.9,37.3,,,,,,,,,,,,,,,,,,,,,,,,,
6,1.2,3.5,4.6,203.1,697.4,182.2,218.7,1310.6,9.2,1301.4,,,,,,,,,,,,,,,,,,,,,,,,,
7,19.7,6,62,412.4,112.7,158.8,183.2,954.8,87.7,867.1,,,,,,,,,,,,,,,,,,,,,,,,,
8,2,13.7,18.1,568.5,1416.2,378.6,1286.4,3683.5,33.8,3649.7,,,,,,,,,,,,,,,,,,,,,,,,,
